dataset,board,num_cpus,chunksize,implementation,runtime,std_runtime,min_runtime,max_runtime
GAP-road,thea,1,4,openmp,0.5058160561935555,0.0014215687470588256,0.502427,0.508153
GAP-road,thea,1,8,openmp,0.5058160561935555,0.0014215687470588256,0.502427,0.508153
GAP-road,thea,1,16,openmp,0.5058160561935555,0.0014215687470588256,0.502427,0.508153
GAP-road,thea,1,32,openmp,0.5058160561935555,0.0014215687470588256,0.502427,0.508153
GAP-road,thea,1,64,openmp,0.5058160561935555,0.0014215687470588256,0.502427,0.508153
GAP-road,thea,1,256,openmp,0.5058160561935555,0.0014215687470588256,0.502427,0.508153
GAP-road,thea,1,1024,openmp,0.5058160561935555,0.0014215687470588256,0.502427,0.508153
GAP-road,thea,1,4096,openmp,0.5058160561935555,0.0014215687470588256,0.502427,0.508153
rgg_n_2_22_s0,thea,1,4,openmp,0.25439391214623963,0.012082065688205705,0.230663,0.28324
rgg_n_2_22_s0,thea,1,8,openmp,0.25439391214623963,0.012082065688205705,0.230663,0.28324
rgg_n_2_22_s0,thea,1,16,openmp,0.25439391214623963,0.012082065688205705,0.230663,0.28324
rgg_n_2_22_s0,thea,1,32,openmp,0.25439391214623963,0.012082065688205705,0.230663,0.28324
rgg_n_2_22_s0,thea,1,64,openmp,0.25439391214623963,0.012082065688205705,0.230663,0.28324
rgg_n_2_22_s0,thea,1,256,openmp,0.25439391214623963,0.012082065688205705,0.230663,0.28324
rgg_n_2_22_s0,thea,1,1024,openmp,0.25439391214623963,0.012082065688205705,0.230663,0.28324
rgg_n_2_22_s0,thea,1,4096,openmp,0.25439391214623963,0.012082065688205705,0.230663,0.28324
europe_osm,thea,1,4,openmp,1.1553373888662355,0.01609344608290992,1.120789,1.17279
europe_osm,thea,1,8,openmp,1.1553373888662355,0.01609344608290992,1.120789,1.17279
europe_osm,thea,1,16,openmp,1.1553373888662355,0.01609344608290992,1.120789,1.17279
europe_osm,thea,1,32,openmp,1.1553373888662355,0.01609344608290992,1.120789,1.17279
europe_osm,thea,1,64,openmp,1.1553373888662355,0.01609344608290992,1.120789,1.17279
europe_osm,thea,1,256,openmp,1.1553373888662355,0.01609344608290992,1.120789,1.17279
