dataset,board,num_cpus,chunksize,implementation,runtime
GAP-road,baldo,2,4,mutex,1.0971061590715165
rgg_n_2_22_s0,baldo,2,4,mutex,0.388700893641728
europe_osm,baldo,2,4,mutex,1.9091820682476233
GAP-road,baldo,2,8,mutex,0.7182302610354022
rgg_n_2_22_s0,baldo,2,8,mutex,0.3406884851366814
europe_osm,baldo,2,8,mutex,0.9945887076631336
GAP-road,baldo,2,4,atomic,1.1504494785264145
rgg_n_2_22_s0,baldo,2,4,atomic,0.3747580382556934
europe_osm,baldo,2,4,atomic,1.8657325771938398
GAP-road,baldo,2,8,atomic,0.721082334774771
rgg_n_2_22_s0,baldo,2,8,atomic,0.3989643020560496
europe_osm,baldo,2,8,atomic,0.961966760694293
GAP-road,baldo,1,4,mutex,1.4525780335269642
rgg_n_2_22_s0,baldo,1,4,mutex,0.723408237632928
europe_osm,baldo,1,4,mutex,2.1780773054448463
GAP-road,baldo,1,8,mutex,1.3030801522117184
rgg_n_2_22_s0,baldo,1,8,mutex,0.6990596541137264
europe_osm,baldo,1,8,mutex,1.9567202042882088
GAP-road,baldo,1,4,atomic,1.3112972968367453
rgg_n_2_22_s0,baldo,1,4,atomic,0.6929027424114744
europe_osm,baldo,1,4,atomic,1.8876005943393044
GAP-road,baldo,1,8,atomic,1.2213470442693894
rgg_n_2_22_s0,baldo,1,8,atomic,0.6812050797388001
europe_osm,baldo,1,8,atomic,1.7745232009047394
GAP-road,baldo,4,4,mutex,0.5527659941421905
rgg_n_2_22_s0,baldo,4,4,mutex,0.19964640205092263
europe_osm,baldo,4,4,mutex,1.062122430292664
GAP-road,baldo,4,8,mutex,0.517670236563619
rgg_n_2_22_s0,baldo,4,8,mutex,0.14099006941455466
europe_osm,baldo,4,8,mutex,0.7152602659863299
GAP-road,baldo,4,4,atomic,0.5656080354603226
rgg_n_2_22_s0,baldo,4,4,atomic,0.18500533115393794
europe_osm,baldo,4,4,atomic,1.017426450962891
GAP-road,baldo,4,8,atomic,0.4285055031870076
rgg_n_2_22_s0,baldo,4,8,atomic,0.16459481504429513
europe_osm,baldo,4,8,atomic,0.6629321452251067
GAP-road,baldo,8,4,mutex,0.5401754191660418
rgg_n_2_22_s0,baldo,8,4,mutex,0.12742472694809703
europe_osm,baldo,8,4,mutex,1.023628406265544
GAP-road,baldo,8,8,mutex,0.3085723589002369
rgg_n_2_22_s0,baldo,8,8,mutex,0.11442376028521595
europe_osm,baldo,8,8,mutex,0.7568861858031627
GAP-road,baldo,8,4,atomic,0.36837792799850466
rgg_n_2_22_s0,baldo,8,4,atomic,0.16643503731719564
europe_osm,baldo,8,4,atomic,0.819423240649087
GAP-road,baldo,8,8,atomic,0.2796769841423724
rgg_n_2_22_s0,baldo,8,8,atomic,0.10705712420921505
europe_osm,baldo,8,8,atomic,1.2500695797984114
GAP-road,baldo,16,4,mutex,0.6010155685997293
rgg_n_2_22_s0,baldo,16,4,mutex,0.13771575794171134
