   , dataset      , board     , num_cpus, chunksize, implementation, runtime
  0, rgg_n_2_22_s0, pioneer   ,       32,        16, atomic        ,  0.45278254440437726
  1, GAP-road     , pioneer   ,       32,        16, atomic        ,  0.32810102155627313
  2, europe_osm   , pioneer   ,       32,        16, atomic        ,  0.9392136257377951
  3, europe_osm   , pioneer   ,       32,       256, atomic        ,  1.0544204586068597
  4, rgg_n_2_22_s0, pioneer   ,       32,       256, atomic        ,  0.44418001775092275
  5, GAP-road     , pioneer   ,       32,       256, atomic        ,  0.5187181340733863
  6, rgg_n_2_22_s0, pioneer   ,       32,      1024, atomic        ,  0.9395653705761121
  7, GAP-road     , pioneer   ,       32,      1024, atomic        ,  1.6977214577435387
  8, europe_osm   , pioneer   ,       32,      1024, atomic        ,  2.549945080327942
  9, GAP-road     , pioneer   ,       32,        32, atomic        ,  0.3095859113702629
 10, rgg_n_2_22_s0, pioneer   ,       32,        32, atomic        ,  0.3372429156350645
 11, europe_osm   , pioneer   ,       32,        32, atomic        ,  0.9200165266539723
 12, rgg_n_2_22_s0, pioneer   ,       32,      4096, atomic        ,  2.144813803661977
 13, GAP-road     , pioneer   ,       32,      4096, atomic        ,  4.082609793558345
 14, europe_osm   , pioneer   ,       32,      4096, atomic        ,  7.2091043262022465
 15, rgg_n_2_22_s0, pioneer   ,       32,        64, atomic        ,  0.3320894204266242
 16, GAP-road     , pioneer   ,       32,        64, atomic        ,  0.32304729418385847
 17, europe_osm   , pioneer   ,       32,        64, atomic        ,  0.7462193651962525
 18, europe_osm   , pioneer   ,        1,        16, atomic        , 11.767039353194797
 19, GAP-road     , pioneer   ,        1,        16, atomic        ,  4.923953763687729
 20, rgg_n_2_22_s0, pioneer   ,        1,        16, atomic        ,  2.3641752711536106
 21, rgg_n_2_22_s0, pioneer   ,        1,       256, atomic        ,  2.199681528936083
 22, europe_osm   , pioneer   ,        1,       256, atomic        , 10.336532173768676
 23, GAP-road     , pioneer   ,        1,       256, atomic        ,  4.4157939379982265
 24, europe_osm   , pioneer   ,        1,      1024, atomic        , 10.330091293355983
