implementation,ncpus,dataset_name,PAPI_L3_TCA,PAPI_L3_TCM
pthreads,2,Geo_1438,548675468,277081034
openmp,1,asia_osm,329043880,226097497
openmp,32,Hook_1498,876564186,647373920
gapbs,4,hollywood-2009,163894341,114073445
gapbs,2,GAP-road,3156581029,1527245934
gapbs,32,europe_osm,10094520001,5898268162
pthreads,2,asia_osm,454642710,279322769
openmp,32,PFlow_742,568964968,391342423
openmp,1,Geo_1438,540962279,270128511
pthreads,8,europe_osm,2135104688,1307921700
gapbs,16,Hook_1498,411344132,308669098
gapbs,4,Geo_1438,403466359,291712216
openmp,2,europe_osm,3336903657,2822884769
gapbs,8,PFlow_742,228050386,157198699
pthreads,4,GAP-road,1139094926,597386776
pthreads,16,hollywood-2009,1664199179,549742104
gapbs,8,Hook_1498,372814412,281188123
gapbs,4,asia_osm,1919164606,1410164395
gapbs,16,PFlow_742,275907716,187856438
pthreads,32,GAP-road,1628726014,798588294
openmp,16,GAP-road,3983379265,2921969559
gapbs,32,hollywood-2009,179265542,117462844
pthreads,16,europe_osm,2441460986,1306151464
pthreads,8,PFlow_742,323259590,119595932
openmp,32,hollywood-2009,1641470268,656284104
pthreads,8,Hook_1498,594258476,257168062
gapbs,32,GAP-road,4801775469,2547421475
openmp,1,europe_osm,2591926820,1137365012
openmp,4,hollywood-2009,1642141723,637974065
openmp,8,GAP-road,3602219451,2880701090
openmp,32,europe_osm,7184873652,4865489604
pthreads,8,asia_osm,1024096083,278295255
gapbs,16,GAP-road,4148000695,2380328962
pthreads,8,Geo_1438,561727720,266227440
openmp,32,GAP-road,4441128265,3026653692
openmp,8,hollywood-2009,1637751198,649045867
openmp,2,hollywood-2009,1631020532,599898473
gapbs,8,GAP-road,3553282842,2211263574
gapbs,1,hollywood-2009,149012148,94073178
openmp,4,europe_osm,4652945181,4259363879
pthreads,1,GAP-road,2001616372,644723904
openmp,8,PFlow_742,380442245,275953841
pthreads,16,Hook_1498,583139534,243635752
pthreads,16,GAP-road,1336250315,587189469
gapbs,1,Geo_1438,379810084,228909578
openmp,1,hollywood-2009,1583323759,534100917
